Geography,Geographic_Area_Name,County,tot_pop_est,tot_pop_err,tot_pop_under_5_est,tot_pop_under_5_err,tot_pop_over_65_est,tot_pop_over_65_err,per_pop_under_5_est,per_pop_under_5_err,per_pop_over_65_est,per_pop_over_65_err
1400000US36047003700,"Census Tract 37, Kings County, New York",Kings,2568,459,193,75,51,28,7.5,2.9,2,1.3
1400000US36047003800,"Census Tract 38, Kings County, New York",Kings,1335,232,133,57,278,52,10,3.6,20.8,4.8
1400000US36047003900,"Census Tract 39, Kings County, New York",Kings,2340,368,351,199,139,63,15,6.9,5.9,2.8
1400000US36047004100,"Census Tract 41, Kings County, New York",Kings,3606,601,444,168,451,164,12.3,3.9,12.5,4.1
1400000US36047004300,"Census Tract 43, Kings County, New York",Kings,3662,380,256,90,257,85,7,2.4,7,2.3
1400000US36047004400,"Census Tract 44, Kings County, New York",Kings,2328,259,136,60,556,131,5.8,2.7,23.9,4.8
1400000US36047004500,"Census Tract 45, Kings County, New York",Kings,3574,679,441,357,456,132,12.3,8,12.8,4.3
1400000US36047004600,"Census Tract 46, Kings County, New York",Kings,1282,223,69,37,265,74,5.4,2.9,20.7,5.5
1400000US36047004700,"Census Tract 47, Kings County, New York",Kings,1841,291,195,88,155,72,10.6,4,8.4,4.1
1400000US36047004900,"Census Tract 49, Kings County, New York",Kings,2660,447,190,78,530,164,7.1,2.9,19.9,5.9
1400000US36047005000,"Census Tract 50, Kings County, New York",Kings,2243,313,125,64,435,80,5.6,2.7,19.4,4.2
1400000US36047005100,"Census Tract 51, Kings County, New York",Kings,2815,515,414,172,69,60,14.7,5.6,2.5,2.2
1400000US36047005201,"Census Tract 52.01, Kings County, New York",Kings,1603,259,35,34,639,115,2.2,2.1,39.9,9.1
1400000US36047005202,"Census Tract 52.02, Kings County, New York",Kings,2501,294,115,66,749,199,4.6,2.6,29.9,6.2
1400000US36047005301,"Census Tract 53.01, Kings County, New York",Kings,2223,339,127,57,306,141,5.7,2.5,13.8,5.1
1400000US36047005302,"Census Tract 53.02, Kings County, New York",Kings,65,42,6,9,0,12,9.2,10,0,38.2
1400000US36047005303,"Census Tract 53.03, Kings County, New York",Kings,0,12,0,12,0,12,-,**,-,**
1400000US36047005400,"Census Tract 54, Kings County, New York",Kings,3297,540,234,80,608,115,7.1,2.6,18.4,4.5
1400000US36047005601,"Census Tract 56.01, Kings County, New York",Kings,2421,423,67,49,564,178,2.8,2.1,23.3,7.4
